"study_id","es_id","source_csv_row","con_id","ex_id","arm_design","treatment_control_correlation_used","per_effect_size_estimator","decision_status","decision_source","decision_date"
"arjunan_2023_stress","es016",17,"con004","ex007","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"arjunan_2023_stress","es017",18,"con004","ex008","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"arjunan_2023_stress","es018",19,"con004","ex008","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"hadizadeh_2018_irjbamedsci","es019",20,"con005","ex009","Independent","No","Independent-arm percentage formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"hadizadeh_2018_irjbamedsci","es020",21,"con005","ex009","Independent","No","Independent-arm percentage formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es021",22,"con006","ex010","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es022",23,"con007","ex011","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es023",24,"con006","ex010","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es024",25,"con007","ex011","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es025",26,"con006","ex010","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es026",27,"con007","ex011","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es027",28,"con006","ex010","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es028",29,"con007","ex011","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es029",30,"con006","ex010","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es030",31,"con007","ex011","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es031",32,"con006","ex010","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es032",33,"con007","ex011","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es033",34,"con006","ex010","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es034",35,"con007","ex011","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es035",36,"con006","ex010","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es036",37,"con007","ex011","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es037",38,"con006","ex010","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es038",39,"con007","ex011","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es039",40,"con006","ex010","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es040",41,"con007","ex011","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es041",42,"con006","ex010","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es042",43,"con007","ex011","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es043",44,"con006","ex010","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es044",45,"con007","ex011","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es045",46,"con006","ex010","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2024_devneur","es046",47,"con007","ex011","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"oliveira_2015_jbehavbraisci","es047",48,"con008","ex012","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"oliveira_2015_jbehavbraisci","es048",49,"con008","ex012","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"oliveira_2015_jbehavbraisci","es049",50,"con008","ex012","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"oliveira_2015_jbehavbraisci","es050",51,"con008","ex012","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"oliveira_2015_jbehavbraisci","es051",52,"con008","ex012","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"oliveira_2015_jbehavbraisci","es052",53,"con008","ex012","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"pavlov_2023_molsci","es053",54,"con009","ex013","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"pavlov_2023_molsci","es054",55,"con009","ex013","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"pavlov_2023_molsci","es055",56,"con009","ex013","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"pavlov_2023_molsci","es056",57,"con009","ex013","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"pavlov_2023_molsci","es057",58,"con009","ex013","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"nishio_2006_intjdevlneur","es058",59,"con010","ex014","Independent","No","Independent-arm percentage formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"nishio_2006_intjdevlneur","es059",60,"con011","ex015","Independent","No","Independent-arm percentage formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"nishio_2006_intjdevlneur","es060",61,"con010","ex014","Independent","No","Independent-arm percentage formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"nishio_2006_intjdevlneur","es061",62,"con011","ex015","Independent","No","Independent-arm percentage formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"nishio_2006_intjdevlneur","es062",63,"con010","ex014","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"nishio_2006_intjdevlneur","es063",64,"con011","ex015","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"uygur_2011_ankarauniv","es064",65,"con012","ex016","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"uygur_2011_ankarauniv","es065",66,"con012","ex016","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"uygur_2011_ankarauniv","es066",67,"con012","ex016","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"uygur_2011_ankarauniv","es067",68,"con012","ex016","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"uygur_2011_ankarauniv","es068",69,"con012","ex016","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"uygur_2011_ankarauniv","es069",70,"con012","ex016","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"uygur_2011_ankarauniv","es070",71,"con012","ex016","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"uygur_2011_ankarauniv","es071",72,"con012","ex016","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"morra_1965_physiolrec","es072",73,"con013","ex017","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"morra_1965_physiolrec","es073",74,"con013","ex017","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2021_front","es074",75,"con014","ex018","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2021_front","es075",76,"con015","ex019","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2021_front","es076",77,"con014","ex018","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2021_front","es077",78,"con015","ex019","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2021_front","es078",79,"con014","ex018","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2021_front","es079",80,"con015","ex019","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2021_front","es080",81,"con014","ex018","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2021_front","es081",82,"con015","ex019","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2021_front","es082",83,"con014","ex018","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2021_front","es083",84,"con015","ex019","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2021_front","es084",85,"con014","ex018","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2021_front","es085",86,"con015","ex019","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2021_front","es086",87,"con014","ex018","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2021_front","es087",88,"con015","ex019","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"badache_2017_stress","es088",89,"con016","ex020","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"badache_2017_stress","es089",90,"con016","ex020","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"badache_2017_stress","es090",91,"con016","ex020","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"badache_2017_stress","es091",92,"con016","ex020","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"badache_2017_stress","es092",93,"con016","ex020","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"badache_2017_stress","es093",94,"con016","ex020","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es094",95,"con017","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es095",96,"con017","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es096",97,"con017","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es097",98,"con017","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es098",99,"con017","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es099",100,"con017","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es100",101,"con017","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es101",102,"con017","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es102",103,"con017","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es103",104,"con017","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es104",105,"con017","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es105",106,"con017","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es106",107,"con017","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es107",108,"con017","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es108",109,"con017","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es109",110,"con017","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es110",111,"con017","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es111",112,"con017","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es112",113,"con018","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es113",114,"con018","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es114",115,"con018","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es115",116,"con018","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es116",117,"con018","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es117",118,"con018","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es118",119,"con018","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es119",120,"con018","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es120",121,"con018","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es121",122,"con018","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es122",123,"con018","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es123",124,"con018","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es124",125,"con018","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es125",126,"con018","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es126",127,"con018","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es127",128,"con018","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es128",129,"con018","ex021","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es129",130,"con018","ex022","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es130",131,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es131",132,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es132",133,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es133",134,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es134",135,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es135",136,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es136",137,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es137",138,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es138",139,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es139",140,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es140",141,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es141",142,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es142",143,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es143",144,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es144",145,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es145",146,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es146",147,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es147",148,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es148",149,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es149",150,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es150",151,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es151",152,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es152",153,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es153",154,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es154",155,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es155",156,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es156",157,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es157",158,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es158",159,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es159",160,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es160",161,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es161",162,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es162",163,"con019","ex023","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2020_genpath","es163",164,"con020","ex024","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
