"study_id","es_id","source_csv_row","variable","old_value","new_value","flag","rationale","decision_source","decision_date"
"whitlow_1978_thesis","es100",101,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es101",102,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es102",103,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es103",104,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es104",105,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es105",106,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es106",107,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es107",108,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es108",109,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es109",110,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es110",111,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es111",112,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es112",113,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es113",114,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es114",115,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es115",116,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es116",117,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es117",118,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es118",119,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es119",120,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es120",121,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es121",122,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es122",123,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es123",124,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es124",125,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es125",126,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es126",127,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es127",128,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es128",129,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"whitlow_1978_thesis","es129",130,"comparison_structure","Dependent","Independent","Corrected classification","Control and noise-exposed animals are separate groups. Repeated measurements, shared groups, or multiple outcomes create dependence between effect sizes, not paired treatment-control arms.","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
