issue_id,severity,certainty,category,study_id,es_id,csv_row,field,current_value,expected_or_review,evidence,source_file,source_locator,recommended_action
I0025,Low,Confirmed,Coding,hassanvand_2012_phyphar,es012,13,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0026,Low,Confirmed,Coding,hassanvand_2012_phyphar,es012,13,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0027,Low,Confirmed,Coding,arjunan_2023_stress,es013,14,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0028,Low,Confirmed,Coding,arjunan_2023_stress,es013,14,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0029,Low,Confirmed,Coding,arjunan_2023_stress,es014,15,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0030,Low,Confirmed,Coding,arjunan_2023_stress,es014,15,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0031,Low,Confirmed,Coding,arjunan_2023_stress,es015,16,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0032,Low,Confirmed,Coding,arjunan_2023_stress,es015,16,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0033,Low,Confirmed,Coding,arjunan_2023_stress,es016,17,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0034,Low,Confirmed,Coding,arjunan_2023_stress,es016,17,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0035,Low,Confirmed,Coding,arjunan_2023_stress,es017,18,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0036,Low,Confirmed,Coding,arjunan_2023_stress,es017,18,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0037,Low,Confirmed,Coding,arjunan_2023_stress,es018,19,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0038,Low,Confirmed,Coding,arjunan_2023_stress,es018,19,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0039,Low,Confirmed,Coding,hadizadeh_2018_irjbamedsci,es019,20,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0040,Low,Confirmed,Coding,hadizadeh_2018_irjbamedsci,es019,20,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0041,Low,Confirmed,Coding,hadizadeh_2018_irjbamedsci,es020,21,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0042,Low,Confirmed,Coding,hadizadeh_2018_irjbamedsci,es020,21,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0043,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es021,22,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0044,Low,Confirmed,Coding,abramova_2024_devneur,es021,22,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0045,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es022,23,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0046,Low,Confirmed,Coding,abramova_2024_devneur,es022,23,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0047,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es023,24,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0048,Low,Confirmed,Coding,abramova_2024_devneur,es023,24,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0049,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es024,25,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0050,Low,Confirmed,Coding,abramova_2024_devneur,es024,25,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0051,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es025,26,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0052,Low,Confirmed,Coding,abramova_2024_devneur,es025,26,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0053,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es026,27,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0054,Low,Confirmed,Coding,abramova_2024_devneur,es026,27,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0055,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es027,28,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0056,Low,Confirmed,Coding,abramova_2024_devneur,es027,28,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0057,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es028,29,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0058,Low,Confirmed,Coding,abramova_2024_devneur,es028,29,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0059,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es029,30,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0060,Low,Confirmed,Coding,abramova_2024_devneur,es029,30,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0061,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es030,31,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0062,Low,Confirmed,Coding,abramova_2024_devneur,es030,31,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0063,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es031,32,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0064,Low,Confirmed,Coding,abramova_2024_devneur,es031,32,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0065,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es032,33,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0066,Low,Confirmed,Coding,abramova_2024_devneur,es032,33,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0067,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es033,34,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0068,Low,Confirmed,Coding,abramova_2024_devneur,es033,34,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0069,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es034,35,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0070,Low,Confirmed,Coding,abramova_2024_devneur,es034,35,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0071,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es035,36,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0072,Low,Confirmed,Coding,abramova_2024_devneur,es035,36,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0073,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es036,37,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0074,Low,Confirmed,Coding,abramova_2024_devneur,es036,37,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0075,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es037,38,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0076,Low,Confirmed,Coding,abramova_2024_devneur,es037,38,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0077,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es038,39,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0078,Low,Confirmed,Coding,abramova_2024_devneur,es038,39,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0079,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es039,40,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0080,Low,Confirmed,Coding,abramova_2024_devneur,es039,40,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0081,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es040,41,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0082,Low,Confirmed,Coding,abramova_2024_devneur,es040,41,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0083,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es041,42,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0084,Low,Confirmed,Coding,abramova_2024_devneur,es041,42,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0085,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es042,43,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0086,Low,Confirmed,Coding,abramova_2024_devneur,es042,43,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0087,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es043,44,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0088,Low,Confirmed,Coding,abramova_2024_devneur,es043,44,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0089,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es044,45,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0090,Low,Confirmed,Coding,abramova_2024_devneur,es044,45,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0091,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es045,46,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0092,Low,Confirmed,Coding,abramova_2024_devneur,es045,46,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0093,Low,Confirmed,Protocol conformity,abramova_2024_devneur,es046,47,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0094,Low,Confirmed,Coding,abramova_2024_devneur,es046,47,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0095,Low,Confirmed,Coding,oliveira_2015_jbehavbraisci,es047,48,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0096,Low,Confirmed,Coding,oliveira_2015_jbehavbraisci,es047,48,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0097,Low,Confirmed,Coding,oliveira_2015_jbehavbraisci,es048,49,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0098,Low,Confirmed,Coding,oliveira_2015_jbehavbraisci,es048,49,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0099,Low,Confirmed,Coding,oliveira_2015_jbehavbraisci,es049,50,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0100,Low,Confirmed,Coding,oliveira_2015_jbehavbraisci,es049,50,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0101,Low,Confirmed,Coding,oliveira_2015_jbehavbraisci,es050,51,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0102,Low,Confirmed,Coding,oliveira_2015_jbehavbraisci,es050,51,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0103,Low,Confirmed,Coding,oliveira_2015_jbehavbraisci,es051,52,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0104,Low,Confirmed,Coding,oliveira_2015_jbehavbraisci,es051,52,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0105,Low,Confirmed,Coding,oliveira_2015_jbehavbraisci,es052,53,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0106,Low,Confirmed,Coding,oliveira_2015_jbehavbraisci,es052,53,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
